TimeSeries Dataset,Model,Noise,Noise_Vol,Lr,hd_bites,MAE
SanFranciscoTraffic,KalmanHD,Gaussian,0.1,0.01,4,0.1504012598607074
MetroInterstateTrafficVolume,KalmanHD,Gaussian,0.1,0.1,2,0.21126368764605977
GuangzhouTraffic,KalmanHD,Gaussian,0.1,0.01,4,0.12320886438661229
EnergyConsumptionFraunhofer,KalmanHD,Gaussian,0.1,0.01,4,0.12020125876390453
ElectricityLoadDiagrams,KalmanHD,Gaussian,0.1,0.01,1,0.09870695862163208
SanFranciscoTraffic,KalmanHD,Gaussian,0.2,0.01,4,0.16653326858647485
MetroInterstateTrafficVolume,KalmanHD,Gaussian,0.2,0.1,2,0.2432488851545428
GuangzhouTraffic,KalmanHD,Gaussian,0.2,0.01,4,0.14684572535250157
EnergyConsumptionFraunhofer,KalmanHD,Gaussian,0.2,0.01,4,0.1332264982217798
ElectricityLoadDiagrams,KalmanHD,Gaussian,0.2,0.01,1,0.11707846991186506
SanFranciscoTraffic,KalmanHD,Gaussian,0.5,0.01,4,0.19817181668809053
MetroInterstateTrafficVolume,KalmanHD,Gaussian,0.5,0.1,2,0.3045435548053486
GuangzhouTraffic,KalmanHD,Gaussian,0.5,0.01,4,0.19000924514378645
EnergyConsumptionFraunhofer,KalmanHD,Gaussian,0.5,0.01,4,0.16785332192469363
ElectricityLoadDiagrams,KalmanHD,Gaussian,0.5,0.01,1,0.16493000196661525
SanFranciscoTraffic,KalmanHD,Gaussian,1.0,0.01,4,0.2374022530213537
MetroInterstateTrafficVolume,KalmanHD,Gaussian,1.0,0.1,2,0.3527770470704806
GuangzhouTraffic,KalmanHD,Gaussian,1.0,0.01,4,0.22173476388310362
EnergyConsumptionFraunhofer,KalmanHD,Gaussian,1.0,0.01,4,0.21008893284823169
ElectricityLoadDiagrams,KalmanHD,Gaussian,1.0,0.01,1,0.21726647463702672
SanFranciscoTraffic,KalmanHD,Missing,0.1,0.01,4,0.21690615585389036
MetroInterstateTrafficVolume,KalmanHD,Missing,0.1,0.1,2,0.23269271135341196
GuangzhouTraffic,KalmanHD,Missing,0.1,0.01,4,0.2319972647351118
EnergyConsumptionFraunhofer,KalmanHD,Missing,0.1,0.01,4,0.14070528092862716
ElectricityLoadDiagrams,KalmanHD,Missing,0.1,0.01,1,0.1769684525546228
SanFranciscoTraffic,KalmanHD,Missing,0.2,0.01,4,0.2844486118250496
MetroInterstateTrafficVolume,KalmanHD,Missing,0.2,0.1,2,0.27085574032104354
GuangzhouTraffic,KalmanHD,Missing,0.2,0.01,4,0.3211848662535928
EnergyConsumptionFraunhofer,KalmanHD,Missing,0.2,0.01,4,0.16498413692277722
ElectricityLoadDiagrams,KalmanHD,Missing,0.2,0.01,1,0.23231235724215787
SanFranciscoTraffic,KalmanHD,Missing,0.4,0.01,4,0.40064212673758215
MetroInterstateTrafficVolume,KalmanHD,Missing,0.4,0.1,2,0.3550427393293287
GuangzhouTraffic,KalmanHD,Missing,0.4,0.01,4,0.46193464991315697
EnergyConsumptionFraunhofer,KalmanHD,Missing,0.4,0.01,4,0.21969327335328415
ElectricityLoadDiagrams,KalmanHD,Missing,0.4,0.01,1,0.32477366019909054
SanFranciscoTraffic,KalmanHD,Missing,0.5,0.01,4,0.45832791597900147
MetroInterstateTrafficVolume,KalmanHD,Missing,0.5,0.1,2,0.3978017699192793
GuangzhouTraffic,KalmanHD,Missing,0.5,0.01,4,0.512245875726701
EnergyConsumptionFraunhofer,KalmanHD,Missing,0.5,0.01,4,0.2361638080566369
ElectricityLoadDiagrams,KalmanHD,Missing,0.5,0.01,1,0.3680336715138435
