TimeSeries Dataset,Model,Models,Novelty,Lr,hd_bites,MAE
SanFranciscoTraffic,KalmanHD,2,0.0005,0.01,4,0.14206049777598864
MetroInterstateTrafficVolume,KalmanHD,2,0.005,0.1,2,0.16658291324874605
GuangzhouTraffic,KalmanHD,2,0.0005,0.01,4,0.11060362103190843
EnergyConsumptionFraunhofer,KalmanHD,2,0.0005,0.01,4,0.12046550886358556
ElectricityLoadDiagrams,KalmanHD,2,0.05,0.01,1,0.08437272114093301
SanFranciscoTraffic,KalmanHD,2,0.0007,0.01,4,0.14206049777598864
MetroInterstateTrafficVolume,KalmanHD,2,0.007,0.1,2,0.16658291324874605
GuangzhouTraffic,KalmanHD,2,0.0007,0.01,4,0.11060362103190843
EnergyConsumptionFraunhofer,KalmanHD,2,0.0007,0.01,4,0.12046550886358556
ElectricityLoadDiagrams,KalmanHD,2,0.07,0.01,1,0.08452813433095661
SanFranciscoTraffic,KalmanHD,2,0.0009,0.01,4,0.14206049777598864
MetroInterstateTrafficVolume,KalmanHD,2,0.009,0.1,2,0.16658291324874605
GuangzhouTraffic,KalmanHD,2,0.0009,0.01,4,0.11060362103190843
EnergyConsumptionFraunhofer,KalmanHD,2,0.0009,0.01,4,0.12046550886358556
SanFranciscoTraffic,KalmanHD,2,0.003,0.01,4,0.14254340301213717
SanFranciscoTraffic,KalmanHD,2,0.005,0.01,4,0.14254340301213717
SanFranciscoTraffic,KalmanHD,2,0.006,0.01,4,0.14254340301213717
MetroInterstateTrafficVolume,KalmanHD,2,0.02,0.1,2,0.17560599240479324
MetroInterstateTrafficVolume,KalmanHD,2,0.04,0.1,2,0.17560599240479324
MetroInterstateTrafficVolume,KalmanHD,2,0.05,0.1,2,0.17560599240479324
SanFranciscoTraffic,KalmanHD,2,0.0015,0.01,4,0.14254340301213717
SanFranciscoTraffic,KalmanHD,2,0.0025,0.01,4,0.14254340301213717
SanFranciscoTraffic,KalmanHD,2,0.3,0.01,4,0.1403541620725954
MetroInterstateTrafficVolume,KalmanHD,2,0.3,0.1,2,0.19950945287862396
GuangzhouTraffic,KalmanHD,2,0.3,0.01,4,0.10970335588647631
EnergyConsumptionFraunhofer,KalmanHD,2,0.3,0.01,4,0.11131079659072618
ElectricityLoadDiagrams,KalmanHD,2,0.3,0.01,1,0.08295331017482123
SanFranciscoTraffic,KalmanHD,2,0.5,0.01,4,0.13990424533888057
MetroInterstateTrafficVolume,KalmanHD,2,0.5,0.1,2,0.22952469416971394
GuangzhouTraffic,KalmanHD,2,0.5,0.01,4,0.2959434008632731
EnergyConsumptionFraunhofer,KalmanHD,2,0.5,0.01,4,0.11346873715685196
ElectricityLoadDiagrams,KalmanHD,2,0.5,0.01,1,0.08202723393597897
SanFranciscoTraffic,KalmanHD,2,0.7,0.01,4,0.13838424172739697
MetroInterstateTrafficVolume,KalmanHD,2,0.7,0.1,2,0.19327413012661782
GuangzhouTraffic,KalmanHD,2,0.7,0.01,4,0.1012511118548652
EnergyConsumptionFraunhofer,KalmanHD,2,0.7,0.01,4,0.11132484460939787
ElectricityLoadDiagrams,KalmanHD,2,0.7,0.01,1,0.08201215307595201
SanFranciscoTraffic,KalmanHD,8,0.3,0.01,4,0.14608354348791264
MetroInterstateTrafficVolume,KalmanHD,8,0.3,0.1,2,0.41785673856211997
GuangzhouTraffic,KalmanHD,8,0.3,0.01,4,0.1927585385445337
EnergyConsumptionFraunhofer,KalmanHD,8,0.3,0.01,4,0.12859787050182556
ElectricityLoadDiagrams,KalmanHD,8,0.3,0.01,1,0.09058561590642714
SanFranciscoTraffic,KalmanHD,8,0.5,0.01,4,0.15549267987571735
MetroInterstateTrafficVolume,KalmanHD,8,0.5,0.1,2,0.3362078991005995
GuangzhouTraffic,KalmanHD,8,0.5,0.01,4,0.2959434008632731
EnergyConsumptionFraunhofer,KalmanHD,8,0.5,0.01,4,0.1315255723827319
ElectricityLoadDiagrams,KalmanHD,8,0.5,0.01,1,0.09819693370698088
SanFranciscoTraffic,KalmanHD,8,0.7,0.01,4,0.1417128312179339
MetroInterstateTrafficVolume,KalmanHD,8,0.7,0.1,2,0.48428126502055263
GuangzhouTraffic,KalmanHD,8,0.7,0.01,4,0.1012511118548652
EnergyConsumptionFraunhofer,KalmanHD,8,0.7,0.01,4,0.13160737916008186
ElectricityLoadDiagrams,KalmanHD,8,0.7,0.01,1,0.12076134570172824
SanFranciscoTraffic,KalmanHD,32,0.3,0.01,4,0.1932331432654777
MetroInterstateTrafficVolume,KalmanHD,32,0.3,0.1,2,0.4844756899892026
GuangzhouTraffic,KalmanHD,32,0.3,0.01,4,0.4487232809215672
EnergyConsumptionFraunhofer,KalmanHD,32,0.3,0.01,4,0.16443543312095465
ElectricityLoadDiagrams,KalmanHD,32,0.3,0.01,1,0.39361061445838924
SanFranciscoTraffic,KalmanHD,32,0.5,0.01,4,0.3962189037060246
MetroInterstateTrafficVolume,KalmanHD,32,0.5,0.1,2,0.48504992630826976
GuangzhouTraffic,KalmanHD,32,0.5,0.01,4,0.2959434008632731
EnergyConsumptionFraunhofer,KalmanHD,32,0.5,0.01,4,0.1549099733455652
ElectricityLoadDiagrams,KalmanHD,32,0.5,0.01,1,0.36649632516769015
SanFranciscoTraffic,KalmanHD,32,0.7,0.01,4,0.14576789216965577
MetroInterstateTrafficVolume,KalmanHD,32,0.7,0.1,2,0.48428126502055263
GuangzhouTraffic,KalmanHD,32,0.7,0.01,4,0.1012511118548652
EnergyConsumptionFraunhofer,KalmanHD,32,0.7,0.01,4,0.2363368019245116
ElectricityLoadDiagrams,KalmanHD,32,0.7,0.01,1,0.31481476666640423
SanFranciscoTraffic,KalmanHD,8,0.65,0.01,4,0.14292571030335327
SanFranciscoTraffic,KalmanHD,8,0.75,0.01,4,0.13966932984733346
SanFranciscoTraffic,KalmanHD,32,0.75,0.01,4,0.3355210374422608
SanFranciscoTraffic,KalmanHD,32,0.8,0.01,4,0.3320576400259601
MetroInterstateTrafficVolume,KalmanHD,2,0.2,0.1,2,0.21988807360291424
MetroInterstateTrafficVolume,KalmanHD,2,0.4,0.1,2,0.2485326798176357
MetroInterstateTrafficVolume,KalmanHD,2,0.8,0.1,2,0.4393439153285153
MetroInterstateTrafficVolume,KalmanHD,8,0.4,0.1,2,0.4553261736985873
MetroInterstateTrafficVolume,KalmanHD,8,0.6,0.1,2,0.4599760812194431
MetroInterstateTrafficVolume,KalmanHD,8,0.2,0.1,2,0.3825145769949273
GuangzhouTraffic,KalmanHD,2,0.65,0.01,4,0.1012511118548652
GuangzhouTraffic,KalmanHD,2,0.6,0.01,4,0.1012511118548652
GuangzhouTraffic,KalmanHD,8,0.65,0.01,4,0.1012511118548652
GuangzhouTraffic,KalmanHD,8,0.6,0.01,4,0.1012511118548652
GuangzhouTraffic,KalmanHD,32,0.65,0.01,4,0.1012511118548652
GuangzhouTraffic,KalmanHD,32,0.6,0.01,4,0.1012511118548652
EnergyConsumptionFraunhofer,KalmanHD,2,0.25,0.01,4,0.11137475201294339
EnergyConsumptionFraunhofer,KalmanHD,8,0.25,0.01,4,0.14656887613974431
EnergyConsumptionFraunhofer,KalmanHD,32,0.4,0.01,4,0.18363702390327655
EnergyConsumptionFraunhofer,KalmanHD,32,0.6,0.01,4,0.18610675120368483
ElectricityLoadDiagrams,KalmanHD,2,0.65,0.01,1,0.08201215307595201
ElectricityLoadDiagrams,KalmanHD,2,0.75,0.01,1,0.08305096335584158
ElectricityLoadDiagrams,KalmanHD,8,0.25,0.01,1,0.10245428965282403
ElectricityLoadDiagrams,KalmanHD,8,0.35,0.01,1,0.09571772449396033
ElectricityLoadDiagrams,KalmanHD,32,0.75,0.01,1,0.13418869839746259
ElectricityLoadDiagrams,KalmanHD,32,0.8,0.01,1,0.34252195567821087
SanFranciscoTraffic,KalmanHD,1,0.6,0.01,4,0.1401879571354529
